Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,User_Score,Rating,cluster
Wii Sports,Wii,2006.0,Sports,82.53,76.0,8.0,E,1
Mario Kart Wii,Wii,2008.0,Racing,35.52,82.0,8.3,E,1
Wii Sports Resort,Wii,2009.0,Sports,32.77,80.0,8.0,E,1
New Super Mario Bros.,DS,2006.0,Platform,29.8,89.0,8.5,E,0
Wii Play,Wii,2006.0,Misc,28.92,58.0,6.6,E,1
New Super Mario Bros. Wii,Wii,2009.0,Platform,28.32,87.0,8.4,E,1
Mario Kart DS,DS,2005.0,Racing,23.21,91.0,8.6,E,0
Wii Fit,Wii,2007.0,Sports,22.7,80.0,7.7,E,1
Kinect Adventures!,X360,2010.0,Misc,21.81,61.0,6.3,E,1
Wii Fit Plus,Wii,2009.0,Sports,21.79,80.0,7.4,E,1
Grand Theft Auto V,PS3,2013.0,Action,21.04,97.0,8.2,M,1
Grand Theft Auto: San Andreas,PS2,2004.0,Action,20.81,95.0,9.0,M,0
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,20.15,77.0,7.9,E,0
Grand Theft Auto V,X360,2013.0,Action,16.27,97.0,8.1,M,1
Grand Theft Auto: Vice City,PS2,2002.0,Action,16.15,95.0,8.7,M,0
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,15.29,77.0,7.1,E,0
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,14.98,95.0,8.4,E,0
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,14.73,88.0,3.4,M,1
Call of Duty: Black Ops,X360,2010.0,Shooter,14.61,87.0,6.3,M,1
Call of Duty: Black Ops II,PS3,2012.0,Shooter,13.79,83.0,5.3,M,1
Call of Duty: Black Ops II,X360,2012.0,Shooter,13.67,83.0,4.8,M,1
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,13.47,94.0,6.3,M,1
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,13.32,88.0,3.2,M,1
Grand Theft Auto III,PS2,2001.0,Action,13.1,97.0,8.5,M,0
Super Smash Bros. Brawl,Wii,2008.0,Fighting,12.84,93.0,8.9,T,3
Mario Kart 7,3DS,2011.0,Racing,12.66,85.0,8.2,E,0
Call of Duty: Black Ops,PS3,2010.0,Shooter,12.63,88.0,6.4,M,1
Grand Theft Auto V,PS4,2014.0,Action,12.61,97.0,8.3,M,3
Animal Crossing: Wild World,DS,2005.0,Simulation,12.13,86.0,8.7,E,0
Halo 3,X360,2007.0,Shooter,12.12,94.0,7.8,M,1
Gran Turismo 4,PS2,2004.0,Racing,11.66,89.0,8.5,E,0
Super Mario Galaxy,Wii,2007.0,Platform,11.35,97.0,8.9,E,1
Grand Theft Auto IV,X360,2008.0,Action,11.01,98.0,7.9,M,3
Gran Turismo,PS,1997.0,Racing,10.95,96.0,8.7,E,0
Super Mario 3D Land,3DS,2011.0,Platform,10.81,90.0,8.4,E,0
Gran Turismo 5,PS3,2010.0,Racing,10.7,84.0,7.5,E,1
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,10.6,94.0,6.3,M,1
Grand Theft Auto IV,PS3,2008.0,Action,10.5,98.0,7.5,M,3
Call of Duty: Ghosts,X360,2013.0,Shooter,10.25,73.0,2.6,M,1
Just Dance 3,Wii,2011.0,Misc,10.12,74.0,7.8,E10+,1
New Super Mario Bros. 2,3DS,2012.0,Platform,9.9,78.0,7.2,E,0
Halo: Reach,X360,2010.0,Shooter,9.86,91.0,7.9,M,1
Final Fantasy VII,PS,1997.0,Role-Playing,9.72,92.0,9.2,T,0
Halo 4,X360,2012.0,Shooter,9.71,87.0,7.0,M,1
Gran Turismo 2,PS,1999.0,Racing,9.49,93.0,9.0,T,0
Just Dance 2,Wii,2010.0,Misc,9.44,74.0,7.3,E10+,1
Call of Duty: Ghosts,PS3,2013.0,Shooter,9.36,71.0,2.6,M,2
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,9.31,94.0,8.4,M,1
Animal Crossing: New Leaf,3DS,2012.0,Simulation,9.16,88.0,8.7,E,0
Mario Party DS,DS,2007.0,Misc,8.91,72.0,7.8,E,0
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,8.79,96.0,8.4,M,1
FIFA 16,PS4,2015.0,Sports,8.57,82.0,4.3,E,1
Halo 2,XB,2004.0,Shooter,8.49,95.0,8.2,M,1
Wii Party,Wii,2010.0,Misc,8.38,68.0,7.4,E,1
Mario Party 8,Wii,2007.0,Misc,8.27,62.0,6.3,E,1
FIFA Soccer 13,PS3,2012.0,Action,8.16,88.0,6.6,E,1
Final Fantasy X,PS2,2001.0,Role-Playing,8.05,92.0,8.7,T,0
The Sims 3,PC,2009.0,Simulation,8.01,86.0,7.6,T,0
Final Fantasy VIII,PS,1999.0,Role-Playing,7.86,90.0,8.6,T,0
Pokémon Platinum Version,DS,2008.0,Role-Playing,7.72,83.0,8.5,E,0
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,7.69,88.0,7.6,M,3
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,7.66,83.0,5.7,M,1
FIFA 17,PS4,2016.0,Sports,7.59,85.0,5.0,E,1
